,time,energy_price,fcas_raise_price,fcas_lower_price
645,2024-01-01 15:00,36.06,0,0
650,2024-01-01 15:05,18.71538,0,0
655,2024-01-01 15:10,18.34544,0,0
660,2024-01-01 15:15,28.05037,0,0
665,2024-01-01 15:20,57.95,0,0
670,2024-01-01 15:25,34.22414,0,0
675,2024-01-01 15:30,53.41162,0,0
680,2024-01-01 15:35,36.06,0,0
685,2024-01-01 15:40,20.71353,0,0
690,2024-01-01 15:45,35.87987,0,0
695,2024-01-01 15:50,29.10919,0,0
700,2024-01-01 15:55,34.1639,0,0
705,2024-01-01 16:00,36.06,0,0
710,2024-01-01 16:05,35.88018,0,0
715,2024-01-01 16:10,34.52849,0,0
720,2024-01-01 16:15,34.96086,0,0
725,2024-01-01 16:20,34.49381,0,0
730,2024-01-01 16:25,20.70803,0,0
735,2024-01-01 16:30,38.12153,0,0
740,2024-01-01 16:35,35.87984,0,0
745,2024-01-01 16:40,36.06,0,0
750,2024-01-01 16:45,35.87984,0,0
755,2024-01-01 16:50,36.06,0,0
760,2024-01-01 16:55,48.49326,0,0
765,2024-01-01 17:00,57.48284,0,0
770,2024-01-01 17:05,51.99149,0,0
775,2024-01-01 17:10,46.32444,0,0
780,2024-01-01 17:15,54.95014,0,0
785,2024-01-01 17:20,50.77902,0,0
790,2024-01-01 17:25,57.95,0,0
795,2024-01-01 17:30,62.74,0,0
800,2024-01-01 17:35,54.95014,0,0
805,2024-01-01 17:40,38.93098,0,0
810,2024-01-01 17:45,54.95014,0,0
815,2024-01-01 17:50,54.95014,0,0
820,2024-01-01 17:55,57.95,0,0
825,2024-01-01 18:00,57.25581,0,0
830,2024-01-01 18:05,49.69278,0,0
835,2024-01-01 18:10,36.05995,0,0
840,2024-01-01 18:15,43.91177,0,0
845,2024-01-01 18:20,53.40034,0,0
850,2024-01-01 18:25,54.95014,0,0
855,2024-01-01 18:30,56.19565,0,0
860,2024-01-01 18:35,43.74547,0,0
865,2024-01-01 18:40,50.62045,0,0
870,2024-01-01 18:45,50.76492,0,0
875,2024-01-01 18:50,63.8106,0,0
880,2024-01-01 18:55,63.92746,0,0
885,2024-01-01 19:00,60.86191,0,0
890,2024-01-01 19:05,63.8862,0,0
895,2024-01-01 19:10,64.95,0,0
900,2024-01-01 19:15,62.74,0,0
905,2024-01-01 19:20,62.74,0,0
910,2024-01-01 19:25,57.95,0,0
915,2024-01-01 19:30,62.74,0,0
920,2024-01-01 19:35,62.74,0,0
925,2024-01-01 19:40,56.22224,0,0
930,2024-01-01 19:45,56.62886,0,0
935,2024-01-01 19:50,56.65577,0,0
940,2024-01-01 19:55,57.78808,0,0
945,2024-01-01 20:00,54.95014,0,0
950,2024-01-01 20:05,69.33222,0,0
955,2024-01-01 20:10,70.5148,0,0
960,2024-01-01 20:15,61.73992,0,0
965,2024-01-01 20:20,61.55,0,0
970,2024-01-01 20:25,57.98044,0,0
975,2024-01-01 20:30,57.95,0,0
980,2024-01-01 20:35,59.99,0,0
985,2024-01-01 20:40,60.6401,0,0
990,2024-01-01 20:45,59.99,0,0
995,2024-01-01 20:50,58.46838,0,0
1000,2024-01-01 20:55,57.43009,0,0
1005,2024-01-01 21:00,57.95,0,0
1010,2024-01-01 21:05,55.31425,0,0
1015,2024-01-01 21:10,58.61699,0,0
1020,2024-01-01 21:15,56.0035,0,0
1025,2024-01-01 21:20,57.95,0,0
1030,2024-01-01 21:25,55.7605,0,0
1035,2024-01-01 21:30,56.13773,0,0
1040,2024-01-01 21:35,56.49128,0,0
1045,2024-01-01 21:40,56.4913,0,0
1050,2024-01-01 21:45,54.95004,0,0
1055,2024-01-01 21:50,52.34024,0,0
1060,2024-01-01 21:55,51.00969,0,0
1065,2024-01-01 22:00,51.24884,0,0
1070,2024-01-01 22:05,38.37966,0,0
1075,2024-01-01 22:10,54.86645,0,0
1080,2024-01-01 22:15,54.26152,0,0
1085,2024-01-01 22:20,48.79439,0,0
1090,2024-01-01 22:25,36.06,0,0
1095,2024-01-01 22:30,49.03991,0,0
1100,2024-01-01 22:35,49.37853,0,0
1105,2024-01-01 22:40,56.86896,0,0
1110,2024-01-01 22:45,49.37588,0,0
1115,2024-01-01 22:50,48.67091,0,0
1120,2024-01-01 22:55,49.16513,0,0
1125,2024-01-01 23:00,49.02191,0,0
1130,2024-01-01 23:05,48.78222,0,0
1135,2024-01-01 23:10,54.95014,0,0
1140,2024-01-01 23:15,55.8342,0,0
1145,2024-01-01 23:20,54.95014,0,0
