,time,energy_price,fcas_raise_price,fcas_lower_price
635,2024-01-01 14:50,51.73309,0,0
640,2024-01-01 14:55,51.73309,0,0
645,2024-01-01 15:00,51.73309,0,0
650,2024-01-01 15:05,51.73309,0,0
655,2024-01-01 15:10,51.73309,0,0
660,2024-01-01 15:15,18.06477,0,0
665,2024-01-01 15:20,18.06477,0,0
670,2024-01-01 15:25,18.06477,0,0
675,2024-01-01 15:30,18.06477,0,0
680,2024-01-01 15:35,18.06477,0,0
685,2024-01-01 15:40,18.06477,0,0
690,2024-01-01 15:45,36.06,0,0
695,2024-01-01 15:50,36.06,0,0
700,2024-01-01 15:55,36.06,0,0
705,2024-01-01 16:00,36.06,0,0
710,2024-01-01 16:05,36.06,0,0
715,2024-01-01 16:10,36.06,0,0
720,2024-01-01 16:15,35.88,0,0
725,2024-01-01 16:20,35.88,0,0
730,2024-01-01 16:25,35.88,0,0
735,2024-01-01 16:30,35.88,0,0
740,2024-01-01 16:35,35.88,0,0
745,2024-01-01 16:40,35.88,0,0
750,2024-01-01 16:45,36.06,0,0
755,2024-01-01 16:50,36.06,0,0
760,2024-01-01 16:55,36.06,0,0
765,2024-01-01 17:00,36.06,0,0
770,2024-01-01 17:05,36.06,0,0
775,2024-01-01 17:10,36.06,0,0
780,2024-01-01 17:15,35.88,0,0
785,2024-01-01 17:20,35.88,0,0
790,2024-01-01 17:25,35.88,0,0
795,2024-01-01 17:30,35.88,0,0
800,2024-01-01 17:35,35.88,0,0
805,2024-01-01 17:40,35.88,0,0
810,2024-01-01 17:45,36.06,0,0
815,2024-01-01 17:50,36.06,0,0
820,2024-01-01 17:55,36.06,0,0
825,2024-01-01 18:00,36.06,0,0
830,2024-01-01 18:05,36.06,0,0
835,2024-01-01 18:10,36.06,0,0
840,2024-01-01 18:15,52.98531,0,0
845,2024-01-01 18:20,52.98531,0,0
850,2024-01-01 18:25,52.98531,0,0
855,2024-01-01 18:30,52.98531,0,0
860,2024-01-01 18:35,52.98531,0,0
865,2024-01-01 18:40,52.98531,0,0
870,2024-01-01 18:45,54.95014,0,0
875,2024-01-01 18:50,54.95014,0,0
880,2024-01-01 18:55,54.95014,0,0
885,2024-01-01 19:00,54.95014,0,0
890,2024-01-01 19:05,54.95014,0,0
895,2024-01-01 19:10,54.95014,0,0
900,2024-01-01 19:15,62.74,0,0
905,2024-01-01 19:20,62.74,0,0
910,2024-01-01 19:25,62.74,0,0
915,2024-01-01 19:30,62.74,0,0
920,2024-01-01 19:35,62.74,0,0
925,2024-01-01 19:40,62.74,0,0
930,2024-01-01 19:45,61.5501,0,0
935,2024-01-01 19:50,61.5501,0,0
940,2024-01-01 19:55,61.5501,0,0
945,2024-01-01 20:00,61.5501,0,0
950,2024-01-01 20:05,61.5501,0,0
955,2024-01-01 20:10,61.5501,0,0
960,2024-01-01 20:15,57.95,0,0
965,2024-01-01 20:20,57.95,0,0
970,2024-01-01 20:25,57.95,0,0
975,2024-01-01 20:30,57.95,0,0
980,2024-01-01 20:35,57.95,0,0
985,2024-01-01 20:40,57.95,0,0
990,2024-01-01 20:45,57.95,0,0
995,2024-01-01 20:50,57.95,0,0
1000,2024-01-01 20:55,57.95,0,0
1005,2024-01-01 21:00,57.95,0,0
1010,2024-01-01 21:05,57.95,0,0
1015,2024-01-01 21:10,57.95,0,0
1020,2024-01-01 21:15,55.1066,0,0
1025,2024-01-01 21:20,55.1066,0,0
1030,2024-01-01 21:25,55.1066,0,0
1035,2024-01-01 21:30,55.1066,0,0
1040,2024-01-01 21:35,55.1066,0,0
1045,2024-01-01 21:40,55.1066,0,0
1050,2024-01-01 21:45,54.95014,0,0
1055,2024-01-01 21:50,54.95014,0,0
1060,2024-01-01 21:55,54.95014,0,0
1065,2024-01-01 22:00,54.95014,0,0
1070,2024-01-01 22:05,54.95014,0,0
1075,2024-01-01 22:10,54.95014,0,0
1080,2024-01-01 22:15,54.95014,0,0
1085,2024-01-01 22:20,54.95014,0,0
1090,2024-01-01 22:25,54.95014,0,0
1095,2024-01-01 22:30,54.95014,0,0
1100,2024-01-01 22:35,54.95014,0,0
1105,2024-01-01 22:40,54.95014,0,0
1110,2024-01-01 22:45,54.95019,0,0
1115,2024-01-01 22:50,54.95019,0,0
1120,2024-01-01 22:55,54.95019,0,0
1125,2024-01-01 23:00,54.95019,0,0
1130,2024-01-01 23:05,54.95019,0,0
1135,2024-01-01 23:10,54.95019,0,0
1140,2024-01-01 23:15,54.42539,0,0
1145,2024-01-01 23:20,54.42539,0,0
1150,2024-01-01 23:25,54.42539,0,0
1155,2024-01-01 23:30,54.42539,0,0
1160,2024-01-01 23:35,54.42539,0,0
1165,2024-01-01 23:40,54.42539,0,0
1170,2024-01-01 23:45,57.95,0,0
1175,2024-01-01 23:50,57.95,0,0
1180,2024-01-01 23:55,57.95,0,0
1185,2024-01-02 00:00,57.95,0,0
1190,2024-01-02 00:05,57.95,0,0
1195,2024-01-02 00:10,57.95,0,0
1200,2024-01-02 00:15,54.95014,0,0
1205,2024-01-02 00:20,54.95014,0,0
1210,2024-01-02 00:25,54.95014,0,0
1215,2024-01-02 00:30,54.95014,0,0
1220,2024-01-02 00:35,54.95014,0,0
1225,2024-01-02 00:40,54.95014,0,0
1230,2024-01-02 00:45,54.95014,0,0
1235,2024-01-02 00:50,54.95014,0,0
1240,2024-01-02 00:55,54.95014,0,0
1245,2024-01-02 01:00,54.95014,0,0
1250,2024-01-02 01:05,54.95014,0,0
1255,2024-01-02 01:10,54.95014,0,0
1260,2024-01-02 01:15,54.95014,0,0
1265,2024-01-02 01:20,54.95014,0,0
1270,2024-01-02 01:25,54.95014,0,0
1275,2024-01-02 01:30,54.95014,0,0
1280,2024-01-02 01:35,54.95014,0,0
1285,2024-01-02 01:40,54.95014,0,0
1290,2024-01-02 01:45,54.95014,0,0
1295,2024-01-02 01:50,54.95014,0,0
1300,2024-01-02 01:55,54.95014,0,0
1305,2024-01-02 02:00,54.95014,0,0
1310,2024-01-02 02:05,54.95014,0,0
1315,2024-01-02 02:10,54.95014,0,0
1320,2024-01-02 02:15,54.95014,0,0
1325,2024-01-02 02:20,54.95014,0,0
1330,2024-01-02 02:25,54.95014,0,0
1335,2024-01-02 02:30,54.95014,0,0
1340,2024-01-02 02:35,54.95014,0,0
1345,2024-01-02 02:40,54.95014,0,0
1350,2024-01-02 02:45,52.89786,0,0
1355,2024-01-02 02:50,52.89786,0,0
1360,2024-01-02 02:55,52.89786,0,0
1365,2024-01-02 03:00,52.89786,0,0
1370,2024-01-02 03:05,52.89786,0,0
1375,2024-01-02 03:10,52.89786,0,0
1380,2024-01-02 03:15,52.8684,0,0
1385,2024-01-02 03:20,52.8684,0,0
1390,2024-01-02 03:25,52.8684,0,0
1395,2024-01-02 03:30,52.8684,0,0
1400,2024-01-02 03:35,52.8684,0,0
1405,2024-01-02 03:40,52.8684,0,0
1410,2024-01-02 03:45,49.40014,0,0
1415,2024-01-02 03:50,49.40014,0,0
1420,2024-01-02 03:55,49.40014,0,0
1425,2024-01-02 04:00,49.40014,0,0
1430,2024-01-02 04:05,49.40014,0,0
1435,2024-01-02 04:10,49.40014,0,0
1440,2024-01-02 04:15,47.3444,0,0
1445,2024-01-02 04:20,47.3444,0,0
1450,2024-01-02 04:25,47.3444,0,0
1455,2024-01-02 04:30,47.3444,0,0
1460,2024-01-02 04:35,47.3444,0,0
1465,2024-01-02 04:40,47.3444,0,0
1470,2024-01-02 04:45,51.39204,0,0
1475,2024-01-02 04:50,51.39204,0,0
1480,2024-01-02 04:55,51.39204,0,0
1485,2024-01-02 05:00,51.39204,0,0
1490,2024-01-02 05:05,51.39204,0,0
1495,2024-01-02 05:10,51.39204,0,0
1500,2024-01-02 05:15,57.95,0,0
1505,2024-01-02 05:20,57.95,0,0
1510,2024-01-02 05:25,57.95,0,0
1515,2024-01-02 05:30,57.95,0,0
1520,2024-01-02 05:35,57.95,0,0
1525,2024-01-02 05:40,57.95,0,0
1530,2024-01-02 05:45,57.95,0,0
1535,2024-01-02 05:50,57.95,0,0
1540,2024-01-02 05:55,57.95,0,0
1545,2024-01-02 06:00,57.95,0,0
1550,2024-01-02 06:05,57.95,0,0
1555,2024-01-02 06:10,57.95,0,0
1560,2024-01-02 06:15,57.95,0,0
1565,2024-01-02 06:20,57.95,0,0
1570,2024-01-02 06:25,57.95,0,0
1575,2024-01-02 06:30,57.95,0,0
1580,2024-01-02 06:35,57.95,0,0
1585,2024-01-02 06:40,57.95,0,0
1590,2024-01-02 06:45,36.06,0,0
1595,2024-01-02 06:50,36.06,0,0
1600,2024-01-02 06:55,36.06,0,0
1605,2024-01-02 07:00,36.06,0,0
1610,2024-01-02 07:05,36.06,0,0
1615,2024-01-02 07:10,36.06,0,0
1620,2024-01-02 07:15,35.88,0,0
1625,2024-01-02 07:20,35.88,0,0
1630,2024-01-02 07:25,35.88,0,0
1635,2024-01-02 07:30,35.88,0,0
1640,2024-01-02 07:35,35.88,0,0
1645,2024-01-02 07:40,35.88,0,0
1650,2024-01-02 07:45,36.06,0,0
1655,2024-01-02 07:50,36.06,0,0
1660,2024-01-02 07:55,36.06,0,0
1665,2024-01-02 08:00,36.06,0,0
1670,2024-01-02 08:05,36.06,0,0
1675,2024-01-02 08:10,36.06,0,0
1680,2024-01-02 08:15,35.88,0,0
1685,2024-01-02 08:20,35.88,0,0
1690,2024-01-02 08:25,35.88,0,0
1695,2024-01-02 08:30,35.88,0,0
1700,2024-01-02 08:35,35.88,0,0
1705,2024-01-02 08:40,35.88,0,0
1710,2024-01-02 08:45,33.11275,0,0
1715,2024-01-02 08:50,33.11275,0,0
1720,2024-01-02 08:55,33.11275,0,0
1725,2024-01-02 09:00,33.11275,0,0
1730,2024-01-02 09:05,33.11275,0,0
1735,2024-01-02 09:10,33.11275,0,0
1740,2024-01-02 09:15,36.06,0,0
1745,2024-01-02 09:20,36.06,0,0
1750,2024-01-02 09:25,36.06,0,0
1755,2024-01-02 09:30,36.06,0,0
1760,2024-01-02 09:35,36.06,0,0
1765,2024-01-02 09:40,36.06,0,0
1770,2024-01-02 09:45,21.8743,0,0
1775,2024-01-02 09:50,21.8743,0,0
1780,2024-01-02 09:55,21.8743,0,0
1785,2024-01-02 10:00,21.8743,0,0
1790,2024-01-02 10:05,21.8743,0,0
1795,2024-01-02 10:10,21.8743,0,0
1800,2024-01-02 10:15,54.95014,0,0
1805,2024-01-02 10:20,54.95014,0,0
1810,2024-01-02 10:25,54.95014,0,0
1815,2024-01-02 10:30,54.95014,0,0
1820,2024-01-02 10:35,54.95014,0,0
1825,2024-01-02 10:40,54.95014,0,0
1830,2024-01-02 10:45,34.4726,0,0
1835,2024-01-02 10:50,34.4726,0,0
1840,2024-01-02 10:55,34.4726,0,0
1845,2024-01-02 11:00,34.4726,0,0
1850,2024-01-02 11:05,34.4726,0,0
1855,2024-01-02 11:10,34.4726,0,0
1860,2024-01-02 11:15,18.42718,0,0
1865,2024-01-02 11:20,18.42718,0,0
1870,2024-01-02 11:25,18.42718,0,0
1875,2024-01-02 11:30,18.42718,0,0
1880,2024-01-02 11:35,18.42718,0,0
1885,2024-01-02 11:40,18.42718,0,0
1890,2024-01-02 11:45,18.39884,0,0
1895,2024-01-02 11:50,18.39884,0,0
1900,2024-01-02 11:55,18.39884,0,0
1905,2024-01-02 12:00,18.39884,0,0
